downstream_003
             x                       y                       z
   2.60933e-03            -2.28626e-02             1.46484e-01
  -8.16889e-04            -2.94541e-02             1.46484e-01
  -4.38240e-03            -3.52563e-02             1.46484e-01
  -7.90507e-03            -4.01641e-02             1.46484e-01
  -1.11878e-02            -4.41012e-02             1.46484e-01
  -1.42454e-02            -4.69321e-02             1.46484e-01
  -1.67833e-02            -4.86754e-02             1.46484e-01
  -1.96724e-02            -4.89126e-02             1.46484e-01
  -2.04557e-02            -4.71984e-02             1.46484e-01
  -2.03779e-02            -4.44657e-02             1.46484e-01
  -1.97394e-02            -4.06618e-02             1.46484e-01
  -1.85360e-02            -3.58884e-02             1.46484e-01
  -1.68228e-02            -3.02528e-02             1.46484e-01
  -1.46203e-02            -2.39024e-02             1.46484e-01
  -1.19435e-02            -1.70095e-02             1.46484e-01
  -8.77438e-03            -9.77748e-03             1.46484e-01
  -5.18874e-03            -2.38532e-03             1.46484e-01
  -1.31959e-03             5.00294e-03             1.46484e-01
   2.63422e-03             1.22470e-02             1.46484e-01
   6.48053e-03             1.92067e-02             1.46484e-01
   1.00270e-02             2.57498e-02             1.46484e-01
   1.31091e-02             3.17464e-02             1.46484e-01
   1.56179e-02             3.70621e-02             1.46484e-01
   1.74847e-02             4.15686e-02             1.46484e-01
   1.86938e-02             4.51430e-02             1.46484e-01
   1.93435e-02             4.76457e-02             1.46484e-01
   1.96724e-02             4.89126e-02             1.46484e-01

   1.63937e-02             4.94060e-02             1.63105e-01
   1.62955e-02             4.80881e-02             1.63105e-01
   1.61015e-02             4.54847e-02             1.63105e-01
   1.57754e-02             4.16737e-02             1.63105e-01
   1.53234e-02             3.67494e-02             1.63105e-01
   1.47700e-02             3.08286e-02             1.63105e-01
   1.40947e-02             2.40685e-02             1.63105e-01
   1.32415e-02             1.66597e-02             1.63105e-01
   1.21315e-02             8.81763e-03             1.63105e-01
   1.06991e-02             7.66328e-04             1.63105e-01
   8.87986e-03            -7.26292e-03             1.63105e-01
   6.62988e-03            -1.50429e-02             1.63105e-01
   3.97040e-03            -2.23709e-02             1.63105e-01
   9.97292e-04            -2.90763e-02             1.63105e-01
  -2.16140e-03            -3.50124e-02             1.63105e-01
  -5.33259e-03            -4.00645e-02             1.63105e-01
  -8.32669e-03            -4.41453e-02             1.63105e-01
  -1.11667e-02            -4.71222e-02             1.63105e-01
  -1.35610e-02            -4.89954e-02             1.63105e-01
  -1.63937e-02            -4.94060e-02             1.63105e-01
  -1.72705e-02            -4.77645e-02             1.63105e-01
  -1.73610e-02            -4.50668e-02             1.63105e-01
  -1.69646e-02            -4.12791e-02             1.63105e-01
  -1.60708e-02            -3.65014e-02             1.63105e-01
  -1.47273e-02            -3.08428e-02             1.63105e-01
  -1.29453e-02            -2.44499e-02             1.63105e-01
  -1.07292e-02            -1.74933e-02             1.63105e-01
  -8.04865e-03            -1.01724e-02             1.63105e-01
  -4.96742e-03            -2.66818e-03             1.63105e-01
  -1.60656e-03             4.84953e-03             1.63105e-01
   1.84656e-03             1.22303e-02             1.63105e-01
   5.21114e-03             1.93243e-02             1.63105e-01
   8.30575e-03             2.59894e-02             1.63105e-01
   1.09761e-02             3.20875e-02             1.63105e-01
   1.31232e-02             3.74794e-02             1.63105e-01
   1.46872e-02             4.20348e-02             1.63105e-01
   1.56600e-02             4.56312e-02             1.63105e-01
   1.61471e-02             4.81373e-02             1.63105e-01
   1.63937e-02             4.94060e-02             1.63105e-01

   1.38177e-02             4.94633e-02             1.79726e-01
   1.37833e-02             4.81599e-02             1.79726e-01
   1.37153e-02             4.55852e-02             1.79726e-01
   1.35742e-02             4.18142e-02             1.79726e-01
   1.33618e-02             3.69401e-02             1.79726e-01
   1.30965e-02             3.10793e-02             1.79726e-01
   1.27509e-02             2.43855e-02             1.79726e-01
   1.22607e-02             1.70440e-02             1.79726e-01
   1.15379e-02             9.26343e-03             1.79726e-01
   1.05073e-02             1.26142e-03             1.79726e-01
   9.09440e-03            -6.73717e-03             1.79726e-01
   7.24525e-03            -1.45105e-02             1.79726e-01
   4.97116e-03            -2.18577e-02             1.79726e-01
   2.35855e-03            -2.86064e-02             1.79726e-01
  -4.73349e-04            -3.46056e-02             1.79726e-01
  -3.35939e-03            -3.97343e-02             1.79726e-01
  -6.11688e-03            -4.38974e-02             1.79726e-01
  -8.77474e-03            -4.69654e-02             1.79726e-01
  -1.10456e-02            -4.89247e-02             1.79726e-01
  -1.38177e-02            -4.94633e-02             1.79726e-01
  -1.47594e-02            -4.78872e-02             1.79726e-01
  -1.49763e-02            -4.52330e-02             1.79726e-01
  -1.47648e-02            -4.14816e-02             1.79726e-01
  -1.41100e-02            -3.67311e-02             1.79726e-01
  -1.30538e-02            -3.10912e-02             1.79726e-01
  -1.16003e-02            -2.47069e-02             1.79726e-01
  -9.74548e-03            -1.77466e-02             1.79726e-01
  -7.45032e-03            -1.04053e-02             1.79726e-01
  -4.76895e-03            -2.86442e-03             1.79726e-01
  -1.81266e-03             4.70300e-03             1.79726e-01
   1.24103e-03             1.21399e-02             1.79726e-01
   4.22104e-03             1.92899e-02             1.79726e-01
   6.95529e-03             2.60045e-02             1.79726e-01
   9.29831e-03             3.21403e-02             1.79726e-01
   1.11590e-02             3.75554e-02             1.79726e-01
   1.24847e-02             4.21185e-02             1.79726e-01
   1.32732e-02             4.57087e-02             1.79726e-01
   1.36347e-02             4.82014e-02             1.79726e-01
   1.38177e-02             4.94633e-02             1.79726e-01

   1.17895e-02             4.92598e-02             1.96347e-01
   1.18038e-02             4.79740e-02             1.96347e-01
   1.18320e-02             4.54340e-02             1.96347e-01
   1.18324e-02             4.17122e-02             1.96347e-01
   1.18033e-02             3.69006e-02             1.96347e-01
   1.17585e-02             3.11146e-02             1.96347e-01
   1.16653e-02             2.45047e-02             1.96347e-01
   1.14536e-02             1.72511e-02             1.96347e-01
   1.10288e-02             9.55619e-03             1.96347e-01
   1.03089e-02             1.63163e-03             1.96347e-01
   9.21212e-03            -6.30367e-03             1.96347e-01
   7.67704e-03            -1.40331e-02             1.96347e-01
   5.70741e-03            -2.13583e-02             1.96347e-01
   3.38201e-03            -2.81061e-02             1.96347e-01
   8.12786e-04            -3.41233e-02             1.96347e-01
  -1.84198e-03            -3.92846e-02             1.96347e-01
  -4.40574e-03            -4.34896e-02             1.96347e-01
  -6.91180e-03            -4.66115e-02             1.96347e-01
  -9.07747e-03            -4.86265e-02             1.96347e-01
  -1.17895e-02            -4.92598e-02             1.96347e-01
  -1.27759e-02            -4.77413e-02             1.96347e-01
  -1.30878e-02            -4.51334e-02             1.96347e-01
  -1.30181e-02            -4.14284e-02             1.96347e-01
  -1.25484e-02            -3.67222e-02             1.96347e-01
  -1.17159e-02            -3.11248e-02             1.96347e-01
  -1.05194e-02            -2.47790e-02             1.96347e-01
  -8.94868e-03            -1.78506e-02             1.96347e-01
  -6.95806e-03            -1.05305e-02             1.96347e-01
  -4.59419e-03            -2.99935e-03             1.96347e-01
  -1.96034e-03             4.56807e-03             1.96347e-01
   7.74318e-04             1.20104e-02             1.96347e-01
   3.44697e-03             1.91674e-02             1.96347e-01
   5.89351e-03             2.58861e-02             1.96347e-01
   7.97587e-03             3.20199e-02             1.96347e-01
   9.60951e-03             3.74256e-02             1.96347e-01
   1.07474e-02             4.19718e-02             1.96347e-01
   1.13918e-02             4.55393e-02             1.96347e-01
   1.16559e-02             4.80094e-02             1.96347e-01
   1.17895e-02             4.92598e-02             1.96347e-01

   1.00871e-02             4.89121e-02             2.12968e-01
   1.01412e-02             4.76454e-02             2.12968e-01
   1.02479e-02             4.51431e-02             2.12968e-01
   1.03640e-02             4.14752e-02             2.12968e-01
   1.04849e-02             3.67325e-02             2.12968e-01
   1.06206e-02             3.10290e-02             2.12968e-01
   1.07343e-02             2.45121e-02             2.12968e-01
   1.07512e-02             1.73571e-02             2.12968e-01
   1.05718e-02             9.76052e-03             2.12968e-01
   1.01087e-02             1.92848e-03             2.12968e-01
   9.27454e-03            -5.92587e-03             2.12968e-01
   8.00202e-03            -1.35910e-02             2.12968e-01
   6.28869e-03            -2.08712e-02             2.12968e-01
   4.20679e-03            -2.75934e-02             2.12968e-01
   1.86190e-03            -3.36033e-02             2.12968e-01
  -5.93909e-04            -3.87723e-02             2.12968e-01
  -2.98977e-03            -4.29960e-02             2.12968e-01
  -5.36243e-03            -4.61506e-02             2.12968e-01
  -7.43406e-03            -4.82037e-02             2.12968e-01
  -1.00871e-02            -4.89121e-02             2.12968e-01
  -1.11064e-02            -4.74463e-02             2.12968e-01
  -1.14949e-02            -4.48859e-02             2.12968e-01
  -1.15414e-02            -4.12324e-02             2.12968e-01
  -1.12248e-02            -3.65799e-02             2.12968e-01
  -1.05784e-02            -3.10377e-02             2.12968e-01
  -9.59648e-03            -2.47468e-02             2.12968e-01
  -8.26396e-03            -1.78700e-02             2.12968e-01
  -6.52979e-03            -1.05941e-02             2.12968e-01
  -4.43433e-03            -3.09870e-03             2.12968e-01
  -2.07394e-03             4.44089e-03             2.12968e-01
   3.89686e-04             1.18604e-02             2.12968e-01
   2.80108e-03             1.89966e-02             2.12968e-01
   5.00326e-03             2.56940e-02             2.12968e-01
   6.86473e-03             3.18036e-02             2.12968e-01
   8.30662e-03             3.71817e-02             2.12968e-01
   9.28665e-03             4.16974e-02             2.12968e-01
   9.81078e-03             4.52332e-02             2.12968e-01
   9.99425e-03             4.76757e-02             2.12968e-01
   1.00871e-02             4.89121e-02             2.12968e-01

   8.93363e-03             4.84245e-02             2.29589e-01
   9.01307e-03             4.71768e-02             2.29589e-01
   9.16999e-03             4.47124e-02             2.29589e-01
   9.36011e-03             4.10991e-02             2.29589e-01
   9.57724e-03             3.64264e-02             2.29589e-01
   9.82880e-03             3.08068e-02             2.29589e-01
   1.00754e-02             2.43850e-02             2.29589e-01
   1.02398e-02             1.73321e-02             2.29589e-01
   1.02199e-02             9.83994e-03             2.29589e-01
   9.92503e-03             2.10977e-03             2.29589e-01
   9.26493e-03            -5.65005e-03             2.29589e-01
   8.16880e-03            -1.32324e-02             2.29589e-01
   6.63017e-03            -2.04444e-02             2.29589e-01
   4.71670e-03            -2.71139e-02             2.29589e-01
   2.52926e-03            -3.30867e-02             2.29589e-01
   2.15135e-04            -3.82329e-02             2.29589e-01
  -2.05942e-03            -4.24460e-02             2.29589e-01
  -4.33319e-03            -4.56047e-02             2.29589e-01
  -6.33295e-03            -4.76713e-02             2.29589e-01
  -8.93363e-03            -4.84245e-02             2.29589e-01
  -9.96870e-03            -4.70005e-02             2.29589e-01
  -1.04045e-02            -4.44846e-02             2.29589e-01
  -1.05258e-02            -4.08841e-02             2.29589e-01
  -1.03097e-02            -3.62912e-02             2.29589e-01
  -9.78696e-03            -3.08145e-02             2.29589e-01
  -8.94895e-03            -2.45928e-02             2.29589e-01
  -7.77738e-03            -1.77864e-02             2.29589e-01
  -6.21812e-03            -1.05782e-02             2.29589e-01
  -4.30725e-03            -3.14617e-03             2.29589e-01
  -2.13613e-03             4.33488e-03             2.29589e-01
   1.39242e-04             1.16997e-02             2.29589e-01
   2.36897e-03             1.87842e-02             2.29589e-01
   4.40152e-03             2.54317e-02             2.29589e-01
   6.11035e-03             3.14928e-02             2.29589e-01
   7.42068e-03             3.68242e-02             2.29589e-01
   8.29353e-03             4.12959e-02             2.29589e-01
   8.73719e-03             4.47922e-02             2.29589e-01
   8.86761e-03             4.72037e-02             2.29589e-01
   8.93363e-03             4.84245e-02             2.29589e-01

   7.94121e-03             4.78796e-02             2.46211e-01
   8.04172e-03             4.66515e-02             2.46211e-01
   8.24026e-03             4.42257e-02             2.46211e-01
   8.49197e-03             4.06683e-02             2.46211e-01
   8.78918e-03             3.60674e-02             2.46211e-01
   9.13718e-03             3.05340e-02             2.46211e-01
   9.49462e-03             2.42099e-02             2.46211e-01
   9.78220e-03             1.72625e-02             2.46211e-01
   9.89603e-03             9.87892e-03             2.46211e-01
   9.74316e-03             2.25588e-03             2.46211e-01
   9.23088e-03            -5.40288e-03             2.46211e-01
   8.28574e-03            -1.28945e-02             2.46211e-01
   6.89794e-03            -2.00291e-02             2.46211e-01
   5.13109e-03            -2.66357e-02             2.46211e-01
   3.08184e-03            -3.25607e-02             2.46211e-01
   8.93018e-04            -3.76733e-02             2.46211e-01
  -1.27343e-03            -4.18656e-02             2.46211e-01
  -3.45787e-03            -4.50189e-02             2.46211e-01
  -5.39175e-03            -4.70911e-02             2.46211e-01
  -7.94121e-03            -4.78796e-02             2.46211e-01
  -8.98659e-03            -4.64948e-02             2.46211e-01
  -9.46084e-03            -4.40232e-02             2.46211e-01
  -9.64450e-03            -4.04772e-02             2.46211e-01
  -9.51342e-03            -3.59473e-02             2.46211e-01
  -9.09580e-03            -3.05409e-02             2.46211e-01
  -8.38080e-03            -2.43947e-02             2.46211e-01
  -7.34750e-03            -1.76663e-02             2.46211e-01
  -5.93931e-03            -1.05352e-02             2.46211e-01
  -4.18859e-03            -3.17715e-03             2.46211e-01
  -2.18229e-03             4.23381e-03             2.46211e-01
  -7.11790e-05             1.15321e-02             2.46211e-01
   1.99994e-03             1.85533e-02             2.46211e-01
   3.88454e-03             2.51404e-02             2.46211e-01
   5.46057e-03             3.11438e-02             2.46211e-01
   6.65688e-03             3.64211e-02             2.46211e-01
   7.43739e-03             4.08432e-02             2.46211e-01
   7.81232e-03             4.42966e-02             2.46211e-01
   7.89789e-03             4.66754e-02             2.46211e-01
   7.94121e-03             4.78796e-02             2.46211e-01

   7.10986e-03             4.72775e-02             2.62832e-01
   7.22712e-03             4.60694e-02             2.62832e-01
   7.45874e-03             4.36830e-02             2.62832e-01
   7.75956e-03             4.01829e-02             2.62832e-01
   8.12071e-03             3.56556e-02             2.62832e-01
   8.54575e-03             3.02106e-02             2.62832e-01
   8.99185e-03             2.39870e-02             2.62832e-01
   9.37840e-03             1.71483e-02             2.62832e-01
   9.60030e-03             9.87748e-03             2.62832e-01
   9.56308e-03             2.36682e-03             2.62832e-01
   9.17238e-03            -5.18437e-03             2.62832e-01
   8.35284e-03            -1.25774e-02             2.62832e-01
   7.09200e-03            -1.96252e-02             2.62832e-01
   5.44995e-03            -2.61588e-02             2.62832e-01
   3.51962e-03            -3.20251e-02             2.62832e-01
   1.43974e-03            -3.70934e-02             2.62832e-01
  -6.31785e-04            -4.12548e-02             2.62832e-01
  -2.73649e-03            -4.43932e-02             2.62832e-01
  -4.61047e-03            -4.64630e-02             2.62832e-01
  -7.10986e-03            -4.72775e-02             2.62832e-01
  -8.16011e-03            -4.59291e-02             2.62832e-01
  -8.66398e-03            -4.35018e-02             2.62832e-01
  -8.89760e-03            -4.00118e-02             2.62832e-01
  -8.83585e-03            -3.55481e-02             2.62832e-01
  -8.50489e-03            -3.02168e-02             2.62832e-01
  -7.89203e-03            -2.41524e-02             2.62832e-01
  -6.97432e-03            -1.75099e-02             2.62832e-01
  -5.69333e-03            -1.04650e-02             2.62832e-01
  -4.07835e-03            -3.19165e-03             2.62832e-01
  -2.21242e-03             4.13769e-03             2.62832e-01
  -2.41576e-04             1.13576e-02             2.62832e-01
   1.69400e-03             1.83040e-02             2.62832e-01
   3.45231e-03             2.48200e-02             2.62832e-01
   4.91537e-03             3.07566e-02             2.62832e-01
   6.01522e-03             3.59722e-02             2.62832e-01
   6.71824e-03             4.03395e-02             2.62832e-01
   7.03619e-03             4.37466e-02             2.62832e-01
   7.08510e-03             4.60908e-02             2.62832e-01
   7.10986e-03             4.72775e-02             2.62832e-01

   6.43854e-03             4.66387e-02             2.79453e-01
   6.56837e-03             4.54505e-02             2.79453e-01
   6.82485e-03             4.31033e-02             2.79453e-01
   7.16271e-03             3.96604e-02             2.79453e-01
   7.57220e-03             3.52066e-02             2.79453e-01
   8.05552e-03             2.98500e-02             2.79453e-01
   8.56885e-03             2.37269e-02             2.79453e-01
   9.03085e-03             1.69975e-02             2.79453e-01
   9.33587e-03             9.84056e-03             2.79453e-01
   9.38858e-03             2.44439e-03             2.79453e-01
   9.09371e-03            -4.99590e-03             2.79453e-01
   8.37468e-03            -1.22855e-02             2.79453e-01
   7.21699e-03            -1.92406e-02             2.79453e-01
   5.67780e-03            -2.56937e-02             2.79453e-01
   3.84681e-03            -3.14932e-02             2.79453e-01
   1.85906e-03            -3.65086e-02             2.79453e-01
  -1.31250e-04            -4.06311e-02             2.79453e-01
  -2.16641e-03            -4.37464e-02             2.79453e-01
  -3.98709e-03            -4.58068e-02             2.79453e-01
  -6.43854e-03            -4.66387e-02             2.79453e-01
  -7.48876e-03            -4.53234e-02             2.79453e-01
  -8.01380e-03            -4.29392e-02             2.79453e-01
  -8.28537e-03            -3.95054e-02             2.79453e-01
  -8.27767e-03            -3.51092e-02             2.79453e-01
  -8.01522e-03            -2.98556e-02             2.79453e-01
  -7.48389e-03            -2.38767e-02             2.79453e-01
  -6.65926e-03            -1.73249e-02             2.79453e-01
  -5.48169e-03            -1.03726e-02             2.79453e-01
  -3.97797e-03            -3.19133e-03             2.79453e-01
  -2.22779e-03             4.04805e-03             2.79453e-01
  -3.73016e-04             1.11809e-02             2.79453e-01
   1.45029e-03             1.80440e-02             2.79453e-01
   3.10416e-03             2.44813e-02             2.79453e-01
   4.47420e-03             3.03444e-02             2.79453e-01
   5.49516e-03             3.54934e-02             2.79453e-01
   6.13546e-03             3.98022e-02             2.79453e-01
   6.40800e-03             4.31609e-02             2.79453e-01
   6.42827e-03             4.54698e-02             2.79453e-01
   6.43854e-03             4.66387e-02             2.79453e-01

   5.82317e-03             4.59988e-02             2.96074e-01
   5.96420e-03             4.48302e-02             2.96074e-01
   6.24279e-03             4.25217e-02             2.96074e-01
   6.61368e-03             3.91350e-02             2.96074e-01
   7.06631e-03             3.47537e-02             2.96074e-01
   7.60167e-03             2.94841e-02             2.96074e-01
   8.17506e-03             2.34601e-02             2.96074e-01
   8.70465e-03             1.68384e-02             2.96074e-01
   9.08437e-03             9.79402e-03             2.96074e-01
   9.21830e-03             2.51122e-03             2.96074e-01
   9.01043e-03            -4.81887e-03             2.96074e-01
   8.38320e-03            -1.20053e-02             2.96074e-01
   7.32028e-03            -1.88671e-02             2.96074e-01
   5.87613e-03            -2.52389e-02             2.96074e-01
   4.13738e-03            -3.09702e-02             2.96074e-01
   2.23556e-03            -3.59312e-02             2.96074e-01
   3.21310e-04            -4.00129e-02             2.96074e-01
  -1.64827e-03            -4.31033e-02             2.96074e-01
  -3.41833e-03            -4.51525e-02             2.96074e-01
  -5.82317e-03            -4.59988e-02             2.96074e-01
  -6.87196e-03            -4.47153e-02             2.96074e-01
  -7.41543e-03            -4.23732e-02             2.96074e-01
  -7.72094e-03            -3.89948e-02             2.96074e-01
  -7.76211e-03            -3.46656e-02             2.96074e-01
  -7.56192e-03            -2.94892e-02             2.96074e-01
  -7.10499e-03            -2.35956e-02             2.96074e-01
  -6.36558e-03            -1.71346e-02             2.96074e-01
  -5.28307e-03            -1.02752e-02             2.96074e-01
  -3.88192e-03            -3.18678e-03             2.96074e-01
  -2.23871e-03             3.96161e-03             2.96074e-01
