upstream_002
             x                       y                       z
   1.69946e-02             2.09064e-02             1.17400e-01
   1.87398e-02             2.29283e-02             1.17400e-01
   2.02053e-02             2.47577e-02             1.17400e-01
   2.14244e-02             2.63358e-02             1.17400e-01
   2.22895e-02             2.77193e-02             1.17400e-01
   2.29282e-02             2.87851e-02             1.17400e-01
   2.33579e-02             2.95022e-02             1.17400e-01
   2.35772e-02             2.98602e-02             1.17400e-01

   2.01752e-02             3.12006e-02             1.36100e-01
   2.00400e-02             3.08032e-02             1.36100e-01
   1.97710e-02             3.00129e-02             1.36100e-01
   1.93713e-02             2.88382e-02             1.36100e-01
   1.88403e-02             2.72953e-02             1.36100e-01
   1.81636e-02             2.54140e-02             1.36100e-01
   1.73684e-02             2.32022e-02             1.36100e-01
   1.64637e-02             2.06840e-02             1.36100e-01
   1.54489e-02             1.78937e-02             1.36100e-01
   1.43310e-02             1.48646e-02             1.36100e-01
   1.31087e-02             1.16385e-02             1.36100e-01
   1.17777e-02             8.26249e-03             1.36100e-01
   1.03331e-02             4.78583e-03             1.36100e-01
   8.77204e-03             1.25892e-03             1.36100e-01
   7.09340e-03            -2.26794e-03             1.36100e-01
   5.29884e-03            -5.74524e-03             1.36100e-01
   3.39205e-03            -9.12456e-03             1.36100e-01
   1.38058e-03            -1.23603e-02             1.36100e-01
  -7.19247e-04            -1.54132e-02             1.36100e-01
  -2.87498e-03            -1.82560e-02             1.36100e-01
  -5.04747e-03            -2.08676e-02             1.36100e-01
  -7.19593e-03            -2.32303e-02             1.36100e-01
  -9.27524e-03            -2.53322e-02             1.36100e-01
  -1.13087e-02            -2.71206e-02             1.36100e-01
  -1.31717e-02            -2.86419e-02             1.36100e-01
  -1.49058e-02            -2.98395e-02             1.36100e-01
  -1.64671e-02            -3.07162e-02             1.36100e-01
  -1.77729e-02            -3.13050e-02             1.36100e-01
  -1.88396e-02            -3.15794e-02             1.36100e-01
  -2.01752e-02            -3.12006e-02             1.36100e-01
  -2.03914e-02            -3.05760e-02             1.36100e-01
  -2.04619e-02            -2.95662e-02             1.36100e-01
  -2.01659e-02            -2.83245e-02             1.36100e-01
  -1.96443e-02            -2.67754e-02             1.36100e-01
  -1.88903e-02            -2.49441e-02             1.36100e-01
  -1.79047e-02            -2.28554e-02             1.36100e-01
  -1.67081e-02            -2.05259e-02             1.36100e-01
  -1.53128e-02            -1.79817e-02             1.36100e-01
  -1.37295e-02            -1.52535e-02             1.36100e-01
  -1.19644e-02            -1.23785e-02             1.36100e-01
  -1.00270e-02            -9.39452e-03             1.36100e-01
  -7.92469e-03            -6.34320e-03             1.36100e-01
  -5.67197e-03            -3.26351e-03             1.36100e-01
  -3.30336e-03            -1.82808e-04             1.36100e-01
  -8.60494e-04             2.87528e-03             1.36100e-01
   1.61151e-03             5.88912e-03             1.36100e-01
   4.06656e-03             8.83798e-03             1.36100e-01
   6.46066e-03             1.17006e-02             1.36100e-01
   8.74968e-03             1.44572e-02             1.36100e-01
   1.08904e-02             1.70894e-02             1.36100e-01
   1.28484e-02             1.95752e-02             1.36100e-01
   1.46015e-02             2.18881e-02             1.36100e-01
   1.61125e-02             2.40143e-02             1.36100e-01
   1.73692e-02             2.59277e-02             1.36100e-01
   1.84094e-02             2.75739e-02             1.36100e-01
   1.91234e-02             2.89985e-02             1.36100e-01
   1.96464e-02             3.00935e-02             1.36100e-01
   1.99983e-02             3.08302e-02             1.36100e-01
   2.01785e-02             3.11985e-02             1.36100e-01

   1.72374e-02             3.19142e-02             1.54800e-01
   1.71363e-02             3.15172e-02             1.54800e-01
   1.69353e-02             3.07273e-02             1.54800e-01
   1.66366e-02             2.95534e-02             1.54800e-01
   1.62383e-02             2.80111e-02             1.54800e-01
   1.57243e-02             2.61282e-02             1.54800e-01
   1.51203e-02             2.39146e-02             1.54800e-01
   1.44333e-02             2.13944e-02             1.54800e-01
   1.36601e-02             1.86009e-02             1.54800e-01
   1.28048e-02             1.55672e-02             1.54800e-01
   1.18632e-02             1.23337e-02             1.54800e-01
   1.08272e-02             8.94585e-03             1.54800e-01
   9.68849e-03             5.45140e-03             1.54800e-01
   8.44019e-03             1.89910e-03             1.54800e-01
   7.07750e-03            -1.66219e-03             1.54800e-01
   5.59819e-03            -5.18415e-03             1.54800e-01
   4.00214e-03            -8.61938e-03             1.54800e-01
